created_at,text,source,geo
2016-12-21T00:19:37.000Z,[FOX]Los Angeles Lakers vs Charlotte Hornets Live Stream tv 2016 Watch Live Here. https://t.co/ouPdZz7Nc1 . Watch Live Here. …,IFTTT,
2016-12-21T00:19:37.000Z,RT @Lakers: 450 of Kinston's finest made the four hour drive down to Charlotte to support their native son. #LakeShow https://t.co/PTJxQeKG…,Twitter for iPhone,
2016-12-21T00:19:37.000Z,RT @Lakers: Goin' to work #LakeShow https://t.co/EwFXaiYutX,Twitter for iPhone,
2016-12-21T00:19:39.000Z,RT @Lakers: A ✋in the face doesn't bother Julius #LakeShow https://t.co/Yoormak4PN,Twitter for Android,
2016-12-21T00:19:40.000Z,RT @LakerFacts: Lakers look good right now,Twitter for iPhone,
2016-12-21T00:19:41.000Z,Game day! Let's go lakers!,Twitter for iPhone,
2016-12-21T00:19:41.000Z,menonton Los Angeles Lakers vs Charlotte Hornets,Facebook,
2016-12-21T00:19:42.000Z,"RT @Lakers: D3ng hits with a defender in his grill!

Lakers lead 14-10 early in the first.",Twitter for iPhone,
2016-12-21T00:19:42.000Z,Lakers 19 Hornets 12 with 6:19 left in 1st,Twitter for Windows,
2016-12-21T00:19:44.000Z,RT @NBA_Skits: The Lakers announce that a statue of Shaq will be unveiled at Star Plaza outside Staples Center prior to the Lakers… ,Twitter for iPhone,
2016-12-21T00:19:44.000Z,RT @LakersCanes305: Let's Go Lakers,Twitter for Android,
2016-12-21T00:19:45.000Z,RT @BaxterHolmes: Lakers announce that a statue of Shaq will be unveiled at Star Plaza outside Staples Center prior to the Lakers gam… ,Mobile Web (M5),
2016-12-21T00:19:46.000Z,RT @Lakers: A ✋in the face doesn't bother Julius #LakeShow https://t.co/Yoormak4PN,Twitter Web Client,
2016-12-21T00:19:46.000Z,"Timeout!
Lakers 19-12 Hornets.",Twitter Web Client,
2016-12-21T00:19:46.000Z,RT @Lakers: #LakeShow https://t.co/MTfhGXpbTq,Twitter for iPhone,
2016-12-21T00:19:46.000Z,RT @BaxterHolmes: Lakers announce that a statue of Shaq will be unveiled at Star Plaza outside Staples Center prior to the Lakers gam… ,Twitter for iPhone,
2016-12-21T00:19:47.000Z,"RT @SerenaWinters: And Lakers fans, this ceremony is OPEN to the public. Fans can gather on Chick Hearn court. Ceremony will start at… ",Twitter for Android,
2016-12-21T00:19:48.000Z,RT @Lakers: 450 of Kinston's finest made the four hour drive down to Charlotte to support their native son. #LakeShow https://t.co/PTJxQeKG…,Twitter for iPhone,
